Model,MAE,RMSE,R2,MAPE
Wide & Deep,0.4933103621006012,0.7411124625146807,0.8320648074150085,34.105637
MLP,0.5043565034866333,0.7557475083638469,0.8253667950630188,36.886112
Residual MLP,0.6200301051139832,0.8831522802525077,0.7615240812301636,37.183884
GRU,1.4795396327972412,2.0318083949277135,-0.2622312307357788,159.88663
1D CNN,2.0877907276153564,2.7383881682719555,-1.29278564453125,88.389565
